lr,num_epochs
0.0019912536553068835,10
0.0003794580562650104,8
0.00015514778014328706,10
2.748626710348816e-05,8
4.900638042779588e-05,9
3.691550964592279e-05,9
2.748626710348816e-05,8
1.551785044318684e-05,9
2.9118515872931566e-05,7
4.13780102597404e-05,3
