,V_TINY,T_TINY,V_BSbs,T_BSbs,V_BBbs,T_BBbs
71,0.18222222477197647,1.7391599655151366,0.55625,2.1191309452056886,0.6465346574783325,10.843229818344117
72,0.19111111760139465,1.7629946708679198,0.61875,2.1482176780700684,0.6178217768669129,10.994953680038453
73,0.16000000536441802,1.7868779182434082,0.61875,2.177639675140381,0.6376237630844116,11.147805738449097
74,0.18666667193174363,1.8107828140258788,0.58125,2.207231616973877,0.6277227640151978,11.302653884887695
75,0.17333333939313889,1.8346827030181885,0.65,2.2364970684051513,0.6504950404167176,11.456087064743041
76,0.2133333370089531,1.858583116531372,0.625,2.2658934593200684,0.6277227640151978,11.610008478164673
77,0.14222222566604614,1.8824614524841308,0.58125,2.2950369834899904,0.6089108943939209,11.760719156265258
78,0.1866666704416275,1.9063664436340333,0.625,2.32433876991272,0.6455445528030396,11.911204528808593
79,0.23555555939674377,1.9301647663116455,0.56875,2.353497123718262,0.6405940651893616,12.06096339225769
80,0.1777777835726738,1.9540348052978516,0.725,2.382789134979248,0.6554455518722534,12.211089515686036
81,0.1511111155152321,1.9778800010681152,0.66875,2.411969804763794,0.695049500465393,12.361171102523803
82,0.14222222417593003,2.0017563819885256,0.53125,2.441541910171509,0.6386138558387756,12.511215019226075
83,0.20888889729976653,2.025629472732544,0.65625,2.470831823348999,0.6435643553733825,12.661678361892701
84,0.2133333370089531,2.049482583999634,0.6125,2.5001136302947997,0.6643564343452454,12.812487459182739
85,0.22222222983837128,2.0733469486236573,0.63125,2.529333543777466,0.6693069338798523,12.962191152572633
86,0.1600000038743019,2.0972078323364256,0.65,2.559224987030029,0.6891089081764221,13.112501192092896
87,0.18222222477197647,2.121110534667969,0.6,2.5881470680236816,0.6554455399513245,13.26394443511963
88,0.1600000038743019,2.1449531078338624,0.6,2.617270517349243,0.6722772240638732,13.415465450286865
89,0.17333333641290666,2.168821620941162,0.61875,2.646555471420288,0.6653465151786804,13.566913986206055
90,0.2088888928294182,2.1926442623138427,0.7375,2.6764715194702147,0.693069326877594,13.717053604125976
91,0.16888889372348787,2.2165525436401365,0.65,2.705798530578613,0.6920791983604431,13.86565704345703
92,0.21777778267860412,2.240773582458496,0.7125,2.7348973751068115,0.6623762369155883,14.013959550857544
93,0.16444444954395293,2.2647019386291505,0.58125,2.7647124767303466,0.705940592288971,14.162418365478516
94,0.18666666895151138,2.2885666370391844,0.625,2.793746089935303,0.6673267364501954,14.311146450042724
95,0.20444444864988326,2.312530279159546,0.6625,2.8230787754058837,0.6782178282737732,14.459717750549316
96,0.1600000023841858,2.3363468170166017,0.625,2.8521839141845704,0.6871287107467652,14.60807032585144
97,0.16444444805383682,2.360178279876709,0.63125,2.8818532943725588,0.6831683278083801,14.756720209121704
98,0.21333333998918533,2.3840465545654297,0.69375,2.9109711170196535,0.6801980137825012,14.90495982170105
99,0.18666666895151138,2.4080432891845702,0.675,2.940252494812012,0.6841584205627441,15.053466272354125
100,0.20000000298023224,2.432191324234009,0.61875,2.969363832473755,0.6910891056060791,15.201991510391235
101,0.17777778059244156,2.456331396102905,0.73125,2.9993152618408203,0.6841584324836731,15.350330066680907
102,0.19111111760139465,2.4802452087402345,0.6,3.0285255908966064,0.7029703021049499,15.498644924163818
103,0.16000000536441802,2.5041778564453123,0.69375,3.0580095767974855,0.6940593957901001,15.646934938430785
104,0.13777778297662735,2.528044414520264,0.69375,3.0873815059661864,0.689108920097351,15.794247341156005
105,0.18666667118668556,2.551878786087036,0.6625,3.116581439971924,0.6930693030357361,15.941367816925048
106,0.18222222477197647,2.5757229328155518,0.64375,3.1462087631225586,0.6831683278083801,16.088330602645875
107,0.17777778208255768,2.599668598175049,0.64375,3.1754324436187744,0.7168316721916199,16.236942481994628
108,0.17333333641290666,2.6235727787017824,0.64375,3.2051316261291505,0.6742574214935303,16.38591594696045
109,0.16888888999819757,2.6474886894226075,0.63125,3.2349005699157716,0.702970290184021,16.533020973205566
110,0.155555559694767,2.6714558601379395,0.6625,3.2649024963378905,0.695049500465393,16.679392051696777
111,0.2088888928294182,2.6954259872436523,0.6875,3.294069242477417,0.6980197906494141,16.826265001296996
112,0.22608695328235626,2.7253403663635254,0.74375,3.3239787101745604,0.6891089081764221,16.972829580307007
113,0.16086955964565278,2.7508713245391845,0.71875,3.3536148071289062,0.699999988079071,17.119408321380615
114,0.2,2.776325798034668,0.6125,3.382852840423584,0.7178217768669128,17.266187524795534
115,0.22173913121223449,2.801811933517456,0.7,3.4121604919433595,0.6960396289825439,17.41187491416931
116,0.23478260338306428,2.8283036231994627,0.7,3.4416889190673827,0.7207920789718628,17.557062339782714
117,0.1869565188884735,2.8538599967956544,0.6375,3.471475839614868,0.7247524738311768,17.70256471633911
118,0.22608695179224014,2.879304122924805,0.73125,3.501212644577026,0.7049505114555359,17.848374319076537
119,0.21739130318164826,2.904714822769165,0.71875,3.5307432651519775,0.7069306969642639,17.997481203079225
120,0.24347825795412065,2.929939603805542,0.64375,3.5605592250823976,0.7386138558387756,18.14524903297424
121,0.26086956560611724,2.955248212814331,0.71875,3.5904894828796388,0.7118812084197998,18.292126417160034
122,0.2043478235602379,2.9804372787475586,0.6875,3.6201523303985597,0.699009895324707,18.44066858291626
123,0.20869565159082412,3.005665636062622,0.68125,3.649783802032471,0.6910891056060791,18.589904689788817
124,0.22608695775270463,3.0310720920562746,0.7125,3.6797261238098145,0.7346534848213195,18.737209510803222
125,0.19130434542894365,3.0562157154083254,0.7125,3.709348678588867,0.7415841460227967,18.88313145637512
126,0.22173912525177003,3.0814657688140867,0.70625,3.738767147064209,0.7029703021049499,19.028540992736815
127,0.20434782207012175,3.1066699981689454,0.70625,3.7685061931610107,0.7504950523376465,19.17386178970337
128,0.25652173459529876,3.1319385528564454,0.74375,3.798352527618408,0.7138613820075989,19.319392347335814
129,0.23043477833271026,3.15734977722168,0.73125,3.8278552055358888,0.7217821955680848,19.465310955047606
130,0.23913043439388276,3.1824917793273926,0.6875,3.8575489997863768,0.7227722764015198,19.612279844284057
131,0.2391304314136505,3.2076135635375977,0.70625,3.886987543106079,0.7405940651893616,19.758739852905272
132,0.2,3.232746696472168,0.675,3.9166335105895995,0.7128712892532348,19.905410289764404
133,0.21304347813129426,3.258070707321167,0.7125,3.9462289333343508,0.7504950523376465,20.053174448013305
134,0.247826087474823,3.283126401901245,0.7,3.975811243057251,0.7683168292045593,20.20145411491394
135,0.21304347962141038,3.308162546157837,0.725,4.005963706970215,0.7277227640151978,20.35302577018738
136,0.20434782207012175,3.333236742019653,0.7375,4.035479879379272,0.7287128686904907,20.501214122772218
137,0.19999999850988387,3.358342504501343,0.73125,4.065192413330078,0.7386138677597046,20.650622415542603
138,0.19565216898918153,3.3834757804870605,0.725,4.094571352005005,0.7445544481277466,20.799324655532835
139,0.23043478429317474,3.4085631370544434,0.68125,4.124296998977661,0.7475247502326965,20.948450565338135
140,0.20869564563035964,3.433637857437134,0.6875,4.153979539871216,0.7287128686904907,21.097325229644774
141,0.2956521689891815,3.4587316036224367,0.65625,4.183591651916504,0.7306930780410766,21.245444774627686
