lr,num_epochs,ewc_lambda
0.0007486331480974447,9,4356
0.0008078398306570449,10,4913
0.0001889451674210676,9,2454
0.0003420774114861116,10,4913
0.0002979792096187911,9,3291
5.693999236845094e-05,8,2976
0.00034773012601660447,9,1203
1.72582500158735e-05,7,1812
1.72582500158735e-05,7,3193
2.2724375391254548e-05,8,3148
