lr,num_epochs,ewc_lambda
0.0011685149179715346,8,96
0.00044626187916422123,8,4212
0.0005430930577750589,7,4682
0.00043598032494602894,7,3465
0.00021218990501142032,9,2942
1.7403519272616696e-05,9,2712
2.9116872584562586e-05,8,4104
2.390726023275518e-05,9,3010
2.390726023275518e-05,9,3010
1.530879951999048e-05,2,3638
