lr,num_epochs,ewc_lambda
0.0015656319941243929,9,2695
0.001274060710902019,7,3113
0.0005356611106442827,9,2815
0.00014382504168259277,5,2007
0.0001281840609297576,5,717
0.0001281840609297576,5,717
1.0068389168525706e-05,5,4994
1.0068389168525706e-05,5,4994
1.0068389168525706e-05,5,4994
1.0068389168525706e-05,5,4994
